"Artera","Artera"
"Artera Privacy","Artera Privacy"
"Automatically retrieves content from the selected condition","Récupérer automatiquement le contenu de la condition sélectionnée"
"CMS Page","Page CMS"
"Condition","Condition"
"General Settings","Paramètres Généraux"
"No","Non"
"Privacy","Vie Privée"
"Privacy Policy","Politique sur la Vie Privée"
"This module requires the ""Terms and Conditions"" function to be active (otherwise you will not see the list of conditions).<br>This module creates a ""Privacy Policy"" page that automatically retrieves content from the selected condition, unless you have already created a page with the url key ""privacy.html"".<br>Use <strong>{{widget type=""Artera\Privacy\Block\Widget""}}</strong> to automatically retrieve content from the selected condition (in your custom cms page).","Ce module requiert que la fonction ""Termes et Conditions"" soit active (sinon vous ne verrez pas la liste des conditions). <br>Ce module créé une page ""Politique sur la vie privée"" qui récupère automatiquement le contenu de la condition sélectionnée, à moins que vous ayez déjà défini une page dédiée ayant comme url ""privacy.html"".<br>Utiliser <strong>{{widget type=""Artera\Privacy\Block\Widget""}</strong> pour récupérer automatiquement le contenu de la condition sélectionnée (dans votre page CMS personnalisée)."
